iteration	solveMasterNet(ms)	updateSubDemand(ms)	solveSubNets(ms)	mapFlow(ms)	getGapFullNet(ms)
363	16.0	0.0	234.0	0.0	0.0
364	16.0	0.0	218.0	0.0	16.0
365	16.0	0.0	218.0	0.0	0.0
366	16.0	0.0	226.0	0.0	16.0
367	15.0	0.0	225.0	0.0	0.0
368	16.0	0.0	222.0	0.0	0.0
369	15.0	0.0	235.0	0.0	0.0
370	15.0	0.0	232.0	0.0	2.0
371	2.0	0.0	235.0	0.0	0.0
372	15.0	0.0	229.0	0.0	2.0
373	17.0	0.0	221.0	0.0	0.0
374	15.0	0.0	219.0	0.0	0.0
375	30.0	0.0	221.0	0.0	0.0
376	15.0	0.0	219.0	0.0	0.0
377	33.0	0.0	218.0	0.0	0.0
378	15.0	0.0	235.0	0.0	0.0
379	15.0	0.0	216.0	0.0	0.0
380	15.0	0.0	219.0	0.0	0.0
381	31.0	0.0	208.0	0.0	0.0
382	15.0	0.0	219.0	0.0	0.0
383	16.0	0.0	218.0	0.0	0.0
384	15.0	0.0	219.0	0.0	0.0
385	16.0	0.0	220.0	0.0	0.0
386	16.0	0.0	241.0	0.0	1.0
387	19.0	0.0	228.0	0.0	1.0
388	17.0	0.0	235.0	0.0	1.0
389	19.0	0.0	232.0	1.0	1.0
390	18.0	0.0	244.0	0.0	0.0
391	16.0	0.0	227.0	0.0	0.0
392	16.0	0.0	219.0	0.0	0.0
393	31.0	0.0	204.0	0.0	0.0
394	25.0	0.0	216.0	0.0	0.0
395	15.0	0.0	219.0	0.0	1.0
396	8.0	0.0	235.0	0.0	1.0
397	18.0	1.0	226.0	1.0	1.0
398	18.0	0.0	204.0	0.0	0.0
399	16.0	0.0	225.0	0.0	0.0
400	22.0	0.0	202.0	0.0	0.0
401	32.0	0.0	234.0	0.0	0.0
402	20.0	0.0	225.0	0.0	1.0
403	18.0	1.0	211.0	0.0	1.0
404	17.0	0.0	223.0	0.0	1.0
405	17.0	0.0	216.0	0.0	2.0
406	17.0	0.0	213.0	0.0	0.0
407	16.0	0.0	219.0	0.0	0.0
408	17.0	0.0	228.0	3.0	2.0
409	15.0	0.0	217.0	0.0	0.0
410	16.0	0.0	213.0	0.0	0.0
411	16.0	0.0	219.0	0.0	0.0
412	15.0	0.0	220.0	0.0	1.0
413	15.0	0.0	203.0	0.0	0.0
414	16.0	0.0	219.0	0.0	0.0
415	13.0	0.0	228.0	0.0	0.0
416	15.0	0.0	209.0	0.0	0.0
417	16.0	0.0	223.0	0.0	0.0
418	15.0	0.0	215.0	0.0	0.0
419	15.0	0.0	209.0	0.0	0.0
420	15.0	0.0	204.0	0.0	15.0
421	16.0	0.0	206.0	0.0	0.0
422	17.0	0.0	208.0	0.0	0.0
423	17.0	1.0	207.0	0.0	1.0
424	18.0	0.0	211.0	0.0	2.0
425	18.0	0.0	219.0	0.0	1.0
426	18.0	0.0	209.0	0.0	1.0
427	17.0	1.0	210.0	1.0	1.0
428	17.0	0.0	210.0	0.0	4.0
429	17.0	0.0	203.0	0.0	0.0
430	16.0	0.0	208.0	0.0	0.0
431	24.0	0.0	213.0	0.0	0.0
432	20.0	0.0	215.0	0.0	0.0
433	20.0	0.0	207.0	0.0	0.0
434	16.0	0.0	218.0	0.0	2.0
435	18.0	0.0	214.0	0.0	0.0
436	15.0	0.0	206.0	0.0	0.0
437	15.0	0.0	207.0	0.0	0.0
438	15.0	0.0	203.0	0.0	0.0
439	16.0	0.0	205.0	0.0	16.0
440	15.0	0.0	189.0	0.0	15.0
441	16.0	0.0	202.0	0.0	0.0
442	15.0	0.0	225.0	0.0	0.0
443	15.0	0.0	225.0	0.0	2.0
444	3.0	0.0	203.0	0.0	0.0
445	31.0	0.0	203.0	0.0	0.0
446	19.0	1.0	209.0	0.0	0.0
447	20.0	0.0	196.0	0.0	0.0
448	31.0	0.0	197.0	0.0	0.0
449	15.0	0.0	204.0	0.0	0.0
450	15.0	0.0	226.0	0.0	0.0
451	17.0	0.0	203.0	0.0	0.0
452	16.0	0.0	203.0	0.0	1.0
453	18.0	0.0	197.0	0.0	0.0
454	16.0	0.0	208.0	0.0	1.0
455	18.0	0.0	209.0	0.0	1.0
456	18.0	0.0	200.0	0.0	1.0
457	18.0	0.0	195.0	0.0	1.0
458	17.0	1.0	198.0	0.0	1.0
459	17.0	1.0	187.0	0.0	0.0
460	16.0	0.0	187.0	0.0	0.0
461	31.0	0.0	188.0	0.0	0.0
462	16.0	0.0	187.0	0.0	15.0
463	16.0	0.0	187.0	0.0	0.0
464	16.0	0.0	189.0	0.0	0.0
465	16.0	0.0	202.0	0.0	0.0
466	20.0	0.0	202.0	0.0	1.0
467	19.0	0.0	192.0	0.0	0.0
468	20.0	0.0	197.0	0.0	2.0
469	17.0	0.0	199.0	0.0	1.0
470	18.0	0.0	193.0	0.0	2.0
471	17.0	0.0	213.0	1.0	1.0
472	17.0	1.0	194.0	0.0	1.0
473	19.0	0.0	193.0	1.0	1.0
474	17.0	0.0	190.0	0.0	0.0
475	16.0	0.0	187.0	0.0	0.0
476	16.0	0.0	182.0	0.0	0.0
477	16.0	0.0	186.0	0.0	15.0
478	16.0	0.0	191.0	1.0	1.0
479	17.0	1.0	194.0	0.0	2.0
480	17.0	1.0	194.0	0.0	1.0
481	18.0	0.0	189.0	0.0	2.0
482	17.0	0.0	194.0	0.0	2.0
483	18.0	1.0	169.0	0.0	16.0
484	16.0	0.0	187.0	0.0	0.0
485	16.0	0.0	180.0	0.0	0.0
486	31.0	0.0	189.0	0.0	0.0
487	16.0	0.0	203.0	0.0	0.0
488	15.0	0.0	179.0	0.0	0.0
489	16.0	0.0	192.0	0.0	0.0
490	16.0	0.0	187.0	0.0	0.0
491	32.0	0.0	177.0	0.0	0.0
492	29.0	0.0	176.0	0.0	0.0
493	15.0	0.0	195.0	0.0	0.0
494	16.0	0.0	187.0	0.0	0.0
495	16.0	0.0	183.0	0.0	0.0
496	29.0	0.0	178.0	0.0	0.0
497	16.0	0.0	197.0	0.0	1.0
498	19.0	0.0	187.0	0.0	1.0
499	17.0	1.0	181.0	0.0	2.0
500	17.0	1.0	184.0	0.0	1.0
