origin 	 dest 	 flow 	 cost
307	16180	1481	5.979093198
307	24023	39	8.55463
308	8791	1871.341247	2.909630165
308	30262	3382.658753	1.644415365
309	10438	206	5.826096002
310	11378	1868	13.33084475
310	30563	1426	7.495124228
311	9529	222	2.788739001
311	12996	0	3.536888
311	18422	1083	1.346929022
311	32532	305	2.207659002
312	4735	2927	3.031885482
312	5429	0	7.400543
312	29375	0	16.778961
312	36476	0	23.802103
312	40828	0	19.783817
313	28305	1585	2.181608085
314	29362	608	5.911759025
314	35126	2832	2.371260349
315	5885	183	4.980217001
315	26501	3316	7.161707517
315	29362	546	6.881680023
315	42044	96	3.197695
316	5133	1761	3.63941118
316	28857	80	2.53247
317	14745	2060	4.780468339
317	28455	10222	2.752089766
318	27595	3529	0.379807093
318	31947	7683	0.772962131
318	41196	0	2.594835
319	6723	389	2.459556004
319	10015	6927	1.671410927
320	12683	0	1.297563
320	19348	5572	1.256796878
320	19792	491	1.407476004
320	22665	782	0.386345001
320	32518	0	1.178468
321	12029	839	1.13781701
321	16308	6459	1.429409403
321	32518	853	0.976067009
322	14891	650	1.088846005
322	28900	4834	1.530427771
322	31947	3107	1.615920295
323	13595	1351	5.148445138
324	26889	6359	2.040690933
324	31947	1027	1.997997029
324	36181	7394	1.466732965
325	34110	9450	1.72781107
325	41196	1776	1.804920091
326	5967	3922	1.12351235
326	34110	5236	1.541443934
327	22826	3719	1.090103301
327	37633	8693.362609	0.927912804
327	41080	1891.637391	0.68149604
328	4923	4276	1.085309413
328	6728	2019	0.974290066
328	11594	6671	0.791773837
329	4858	5401	1.154596751
329	16308	5106	1.194504683
330	20253	2459	0.423939045
330	37073	814	1.111728009
330	40341	3549	0.701938174
331	16724	2008	0.783784052
331	37456	344	0.675425001
331	40341	1078	0.776569012
332	24665	0	1.571318
332	30396	4118	1.142456398
332	41591	4415	0.78315732
333	10264	1065	1.082930017
333	11128	2486	0.687218075
333	12794	1695	0.602712027
334	6711	37003	2.752799727
334	29446	3719	1.819937502
335	35150	5466	1.080784723
336	11128	4982	1.234970667
336	19714	5637	1.154239829
337	5975	3046	2.280328397
337	34110	5672	1.81331532
