NewNodeID	Longitude	latitude
342	-97005768	28793119
343	-96989477	28779693
344	-96978552	28780184
345	-97001468	28769839
346	-103088245	31851824
347	-97055272	28814463
348	-97094140	28794530
349	-97837212	28780959
350	-97808147	28847633
351	-97933724	28781690
352	-98009366	28824997
353	-97851159	28901004
354	-97922613	28916654
355	-97685429	28861759
356	-97727392	28894104
357	-103156056	31754877
358	-98026755	28898642
359	-97979620	28982639
360	-97836025	29032194
361	-98201391	28970163
362	-98251975	29056120
363	-98082009	29059373
364	-98019991	29102571
365	-97875639	29178661
366	-97919495	29310392
367	-97977663	29245774
368	-103059976	31948891
369	-98074024	29181569
370	-98182647	29245750
371	-98034466	29313140
372	-98146202	29346829
373	-98288664	29169308
374	-98176625	29140573
375	-97306073	28980945
376	-97301200	29072899
377	-97142619	29050831
378	-97189137	29111940
379	-102927295	31772280
380	-97236246	29160797
381	-97075926	29162024
382	-97175782	29216338
383	-97261121	29259853
384	-97235416	29337665
385	-97407807	29167260
386	-97305323	29123753
387	-97536531	29068675
388	-97581736	29009924
389	-97636533	28963058
390	-103181933	31726677
391	-97522969	28892809
392	-97445156	28971132
393	-97596297	29240875
394	-97682566	29336043
395	-97760809	29277161
396	-97725239	29413781
397	-97606219	29534463
398	-97531328	29402378
399	-97406883	29361086
400	-97316658	29437780
401	-102357535	31402185
402	-97281457	29509314
403	-97364953	29577374
404	-97446966	29513806
405	-97459067	29514126
406	-97501568	29616594
407	-97292079	29679784
408	-96719702	29386574
409	-96821858	29294938
410	-96955519	29213596
411	-97043999	29295028
412	-102347535	31389031
413	-97089477	29339216
414	-97143130	29293157
415	-97196447	29413294
416	-97112483	29433186
417	-97171192	29430173
418	-97009747	29433040
419	-96938892	29445303
420	-96980257	29513505
421	-96892170	29507032
422	-96829864	29535682
423	-102547302	31519801
424	-97015780	29591471
425	-97107178	29546885
426	-97145047	29573845
427	-96797808	29021067
428	-96688525	29148912
429	-96627344	29032267
430	-96693168	29026853
431	-96531734	29053489
432	-96470583	29057958
433	-96408585	28982622
434	-102465418	31283285
435	-96388619	28825441
436	-96518682	28815370
437	-96671315	28863435
438	-96616883	28935394
439	-96581024	28979549
440	-95993775	28593403
441	-96144958	28708566
442	-96100750	28859350
443	-96256088	28883474
444	-96112867	28993577
445	-106423870	31913770
446	-102898025	30891036
447	-95899926	29115598
448	-95997746	29062701
449	-95808329	29003464
450	-95624609	28857749
451	-95722907	28844538
452	-95637757	28783765
453	-95869895	28756511
454	-95894265	28947511
455	-95992167	28915957
456	-95976225	28972786
457	-102876871	30889695
458	-95960974	28953687
459	-95916225	29010510
460	-95957120	28995371
