From	To	Volume	Cost
20188	213567	5799.293933	0.674759517
20189	213188	12340.4553	0.177251771
20190	204971	0	12.109904
20192	213243	45349.14137	7.470686688
20192	236625	166.037559	5.847438001
20193	213080	31003.68094	2.539059942
20193	213083	0	3.270129
20194	213084	11481.17684	3.38307947
20194	236623	0	2.030427
20195	213081	1541.909069	1.599721058
20196	213088	350.158713	2.574564003
20196	236624	10811.80276	1.617619193
20198	213875	57555.45739	2.012433315
20199	213796	36191.85818	4.815523903
20200	204141	1780.215559	6.017212305
20201	204970	180.443972	49.97890901
20201	237218	0.968004	14.426938
20202	213801	11514.1598	1.599533935
20202	213802	14854.15236	2.157516382
20202	236629	5428.308322	1.086968715
20202	236630	9183.532509	0.427186942
20203	213255	50077.90298	2.780390283
20204	213793	78370.87873	3.599921817
20204	236631	10882.99304	2.344440641
20205	213257	23245.1504	2.557377748
20206	236625	8005.667525	0.41677967
20207	213850	38961.093	2.00704591
20207	236632	17436.89491	3.573745443
20208	213813	28318.39942	3.321939665
20208	213844	32645.12699	3.392197309
20209	213818	35170.53592	3.567102628
20211	213808	18431.1664	4.400038176
20211	213810	26368.40337	1.702276473
20212	204903	37.333433	21.759981
20212	237131	78.206739	15.338106
20215	213269	9864.843668	2.120482514
20216	213270	5852.366186	1.777255391
20218	236601	2637.458763	1.572877197
20219	213274	24319.2027	2.634104565
20220	236578	1667.069816	6.741430294
20221	213032	0	22.850636
20221	213988	0	35.55854
20222	208213	160.981782	6.270774001
20223	204515	23089.92211	3.774614397
20224	204884	1728.955993	6.878409326
20225	236584	0	7.586285
20225	236585	153.430157	11.346322
20226	213920	6313.903014	2.272253117
20226	236587	12.224169	9.585675
20226	236588	0	5.43644
20227	236580	0	7.59267
20227	236581	1938.170706	4.118308254
20228	213112	2053.611805	6.243556439
20231	213891	18925.84698	1.485485286
20232	213892	27415.96112	1.630124486
20233	213894	11401.40959	1.693742144
20234	213031	1458.132349	2.792791089
20234	236602	78.952676	1.197167
20235	4511	0	26.473948
20235	48301	1221.110269	0.154564001
20237	213973	7081.211009	0.999871213
20239	213066	8225.290823	2.370751058
20239	236589	5641.741599	1.155129831
20240	213923	2758.81539	2.315579321
20242	236583	932.382583	0.988075011
20243	213578	6117.086451	0.687416595
20244	213572	4936.775229	1.137810602
20244	213577	1591.982966	0.50652302
20247	212971	1557.432892	7.52201328
20248	236598	0	15.513994
20248	236599	119.781194	4.401105
20249	213990	143.465848	4.333412001
20250	214017	48.539154	3.920534
20251	212964	15813.8607	4.840250261
20251	212968	8959.42025	6.897074372
20252	212966	0	3.948773
20253	213957	8768.958529	1.778477527
20254	236591	2996.617658	15.99323368
20254	236592	420.382708	4.892525009
20255	236593	455.067037	5.199595011
20256	213003	4387.943154	1.028607415
20257	205010	0	0.411065
20257	204952	86.519092	0.859334
20258	208515	4845.737464	1.227230622
20259	208655	3282.57278	6.7637724
20261	213156	2183.30617	10.16142982
20261	208369	986.812655	8.124105106
20262	213132	1967.586815	2.778474177
20264	213156	178.594727	5.245940001
20265	213364	944.530152	4.935588058
20267	213390	2364.330642	7.547601734
20267	213367	398.017281	9.633080016
20268	205514	4890.683918	1.865170966
20269	236448	2348.18004	5.378824515
20270	213365	5999.189237	1.034467857
20272	208504	3342.50973	17.97914088
20273	208220	968.957544	3.16138004
20274	236576	1545.172794	6.157584225
20275	208505	1266.077136	19.16078044
20276	208392	357.13919	8.17421801
20276	208391	1461.256498	9.072688292
20277	208412	384.858588	7.883903012
20279	205504	10272.37186	1.62242863
20279	205505	1728.585349	1.618534077
20280	208401	6593.974684	3.424016525
20282	213344	2748.894557	0.828071023
20282	48025	760.479852	1.090762008
20283	236571	6453.161317	1.875737838
20286	235627	1254.970597	7.07742316
20286	237220	91.909117	6.558894
20286	48057	0	1.625047
20287	214079	2607.432552	5.831052711
20289	214251	14909.00094	2.979760032
20289	214255	172.175008	3.052780001
20291	214273	1884.133176	1.375905079
20293	201723	5582.635441	10.26375121
20293	201729	3940.142453	13.75692333
20294	236565	28.879996	16.046139
20294	208542	4.581084	9.730245
20296	213279	2351.231125	10.09158297
20297	208537	445.27865	6.275040013
20297	208550	3924.115665	13.16072011
20298	208529	1791.024272	1.56112808
20298	208534	2872.004363	2.324993354
20299	214059	991.535707	1.749992023
20299	214060	4557.821425	4.663266053
20300	214064	9097.439127	6.048119054
20302	214041	1556.539857	12.74607747
20303	214028	4292.5513	5.557634132
20303	214030	2225.51549	3.704304314
